COMIDAS,ANIMAIS
cereja,elefante
bolo,girafa
azeitona,formiga
panqueca,alce
arroz,esquilo
trigo,cachorro
bolacha,gato
pizza,peixe
morango,touro
banana,vaca
pudim,cabra
donut,ovelha
taco,lince
ovo,jaguar
queijo,leopardo
bife,javali
manteiga,coelho
sal,galinha
pimenta,morcego
laranja,zebra
uvas,urso
abacaxi,rato
damasco,mosca
amora,cobra
abacate,abelha
manga,cavalo
kiwi,besouro
figo,mula
ameixa,porco
goiaba,macaco
caju,baleia
coco,tigre
tomate,pantera
batata,coruja
ervilha,castor
cenoura,papagaio
couve,golfinho
alho,burro
pepino,vagalume
milho,pato
alface,pulga
aipo,raposa
cebola,bode
agua,ganso
suco,gorila
leite,grilo
catchup,hiena
mostarda,iguana
torta,canguru
sorvete,coala
chocolate,mariposa
pirulito,polvo
caramelo,avestruz
nabo,lontra
gengibre,boi
brocolis,pinguim
cogumelo,pomba
picles,corvo
pera,foca
gelatina,pardal
iogurte,aranha
mel,lula
vodca,cervo
cerveja,sapo
rum,peru
soja,urubu
lentilha,vespa
tofu,lobo
noz,minhoca
cravo,
menta,
baunilha,
waffer,
salame,
presunto,
salsicha,
